"","Compound 1:  Succinic Acid","Compound 2:  Glyceric Acid","Compound 3:  Thymidine","Compound 4:  Malic Acid","Compound 5:  MESNA","Compound 6:  Ketoglutaric Acid","Compound 7:  Guanine","Compound 8:  PEP","Compound 9:  DHAP","Compound 10:  Aconitic Acid","Compound 11:  Shikimic Acid","Compound 12:  Ethyl Dihydroxybenzoate","Compound 13:  Isocitric Acid","Compound 14:  Citric Acid","Compound 15:  Lipoic Acid","Compound 16:  Ribose 5 phosphate","Compound 17:  Thymine","Compound 18:  Uridine","Compound 19:  Glucose 1 phosphate","Compound 20:  Fructose 6 phosphate","Compound 21:  Glucose 6 phosphate","Compound 22:  MTA","Compound 23:  Fructose bisphosphate","Compound 24:  NAD","Compound 25:  FAD","Compound 26:  Malonyl CoA","Compound 27:  Acetyl CoA","Compound 28:  Succinyl CoA","Compound 29:  Taurine","Compound 30:  Ectoine","Compound 31:  AMP","Compound 32:  ADP","Compound 33:  ATP","Compound 34:  Adenosine","Compound 35:  Adenine","Compound 36:  Orotic Acid","Compound 37:  Uracil","Compound 38:  Cytosine","Compound 39:  G3P","Compound 40:  Oxalic Acid","Compound 41:  Methylphosphonic Acid","Compound 42:  cAMP","Compound 43:  Tetrahydrofolic Acid","Compound 44:  NADPH","Compound 45:  S7P","Compound 46:  Butyryl CoA","Compound 47:  Hydroxybutyryl CoA","Compound 48:  Methyl Malonyl CoA"
"150127_Thal nor_HW Extraction","99427.93","15665.745","1808.105","2609361.25","129.226","453457.969","83105.023","14570.217","53643.129","48059.465","1173.445","2955.674","9330681","9031624","3.842","251755.5","35002.125","67211.398","1578781.25","","609912.75","9296.425","312880.969","19562.055","335699.906","22.068","4086.902","418.305","2519551.75","281.826","3112237.75","357886.188","12092.194","77226.297","3449088.75","2683.118","102191.438","988.624","74729.461","4325.914","2.587","82000.148","481.307","206.746","571662","994.786","1822.39","1162.637"
"150127_Thal nor_BE Extraction","166842.484","3501.899","1361.097","2082157.875","102.57","310140.063","62786.133","5701.213","240455.188","10978.98","470.52","1870.119","3995037.75","4526796.5","59.855","172561.781","26436.027","46354.211","610667.688","31.579","358667.875","2351.97","186213.297","21906.162","412378.531","10.988","448.702","578.93","2959245","143.404","2592768.75","334103.813","16518.518","42826.16","2193868","23289.385","79132.375","326.008","16842.479","2238.03","","13328.38","274.173","733.067","341225.813","1325","1228.903","1109.065"
"150127_Blank 3","104.183","1.907","4.285","5796.715","5.619","","51.701","","6.193","92.675","1.642","120.012","","","","178.346","127.835","","68.666","","170.942","6.869","3.025","","","","","","71.751","","220.572","218.394","","22.617","12.124","269.804","50.197","","65.791","322.925","","21.8","14.877","","","","1.31","0.818"
"150127_Thal nor_MeOH-DCM Extraction","130873.672","4153.994","964.419","2649740.25","171.345","457973","63781.441","29504.742","583637.688","16118.25","599.49","1887.032","6300433","7033886.5","14.991","291570.344","46789.191","64604.652","1075084.125","","1023950.063","108.733","418167.469","15182.264","316881.781","1.156","138.248","2128.204","3354380.25","301.445","2713439","440026.813","22630.289","90323.031","3770167.25","137084.484","126769.461","671.243","16776.92","986.413","","30044.09","161.619","2942.615","476543.25","1350.483","1884.711","934.436"
"150127_Thal nor_40-40-20-no acid Extraction","151880.828","4106.396","1807.357","1931406.625","283.18","308317.75","101608.43","959.355","74280.703","8796.349","707.193","1590.393","2407899.25","2786565.25","61.144","71806.281","40131.738","54830.457","262523.781","","206385","","38472.039","13779.645","341996","11.603","9.473","524.397","3906095.5","298.898","1610830.375","81977.594","4210.023","70917","3145596.25","47279.332","96649.938","569.309","2685.674","405.139","0.9","28070.805","189.881","106.002","132048.797","1179.436","1288.787","454.47"
"150127_NEG Mix #1","77053.328","","39965.008","2999743","4336895.5","402099.063","43664.855","148335.219","131808.266","2255263.5","219903.641","1241751.25","3546745","1687403.25","304473.531","743042.688","353385.25","365647.688","1629363.5","696840.688","","79227.148","239240.781","60595.359","8843760","683209.875","15744.713","","","","23126.457","180.702","0.915","2.383","2004060.375","11517.614","148098.609","","14298.697","244.918","","3.163","","","","0.48","","34.281"
"150127_NEG Mix #2","48737.375","0.553","95.909","1481.073","25.044","","171.907","","","60.968","79.221","111.747","7541.663","","","262.872","245.542","116.896","8918.398","7035.479","993132.313","","1013.06","17.897","94.068","31.699","4050164.25","135340.719","1121021.125","13140.773","1188905.875","1133428","774069.313","129097.492","1562251.375","238.708","619856.938","13326.949","49233.023","11198.915","459357.719","526.559","2.117","609091.063","","40.331","2.193",""
"150127_Thal nor_HW Extraction_2","121721.688","13969.932","2167.648","3169482.5","179.034","498411.75","88679.391","11849.647","49496.605","57721.418","531.094","3376.061","9811173","10517658","79.671","406349.25","35401.547","52690.461","1777749.375","","779541.5","9683.392","327358.125","18282.869","371286.563","39.367","4270.934","722.452","3001624","420.511","3061812.75","398085.719","10794.62","117696.844","4060455.75","8783.084","103625.906","172.901","69694.281","7935.146","","74959.648","594.541","80.382","734009.875","977.874","2145.479","1214.269"
"150127_Thal nor_MeOH-DCM Extraction_2","164198.172","6091.419","1735.449","2836334.5","68.401","493422.688","69298.789","22740.49","293502.219","19938.691","1017.885","2128.635","5962309.5","6994986.5","23.796","180411.734","48692.918","45882.816","1181458.875","","1328824.625","90.796","379909.688","12932.967","316433.063","0.963","183.141","1300.425","3804050.5","172.042","3015321","494368.969","24608.25","118491.008","4263642","163713.828","122902.094","487.867","27162.166","9610.563","","30424.445","135.135","3514.563","539178.25","623.984","2127.179","1746.455"
