"","Compound 1:  Succinic Acid","Compound 2:  Glyceric Acid","Compound 3:  Thymidine","Compound 4:  Malic Acid","Compound 5:  MESNA","Compound 6:  Ketoglutaric Acid","Compound 7:  Guanine","Compound 8:  PEP","Compound 9:  DHAP","Compound 10:  Aconitic Acid","Compound 11:  Shikimic Acid","Compound 12:  Ethyl Dihydroxybenzoate","Compound 13:  Isocitric Acid","Compound 14:  Citric Acid","Compound 15:  Lipoic Acid","Compound 16:  Ribose 5 phosphate","Compound 17:  Thymine","Compound 18:  Uridine","Compound 19:  Glucose 1 phosphate","Compound 20:  Fructose 6 phosphate","Compound 21:  Glucose 6 phosphate","Compound 22:  MTA","Compound 23:  Fructose bisphosphate","Compound 24:  NAD","Compound 25:  FAD","Compound 26:  Malonyl CoA","Compound 27:  Acetyl CoA","Compound 28:  Succinyl CoA","Compound 29:  Taurine","Compound 30:  Ectoine","Compound 31:  AMP","Compound 32:  ADP","Compound 33:  ATP","Compound 34:  Adenosine","Compound 35:  Adenine","Compound 36:  Orotic Acid","Compound 37:  Uracil","Compound 38:  Cytosine","Compound 39:  G3P","Compound 40:  Oxalic Acid","Compound 41:  Methylphosphonic Acid","Compound 42:  cAMP","Compound 43:  Tetrahydrofolic Acid","Compound 44:  NADPH","Compound 45:  S7P","Compound 46:  Butyryl CoA","Compound 47:  Hydroxybutyryl CoA","Compound 48:  Methyl Malonyl CoA"
"150127_Thal nor_HW Extraction","6.633","6.098","9.78","5.611","27.286","6.596","5.346","5.176","4.435","5.929","5.673","9.417","2.845","3.229","81.468","5.44","6.465","5.496","4.025","","4.061","5.64","5.095","5.581","6.374","12.461","4.889","7.659","5.38","6.511","4.609","3.261","2.729","6.185","3.738","7.066","4.75","4.238","4.496","9.34","11.983","5.224","7.974","6.017","4.993","8.342","7.003","6.881"
"150127_Thal nor_BE Extraction","6.927","6.084","9.7","5.862","34.435","6.14","5.491","5.802","4.732","3.694","8.361","11.213","3.695","3.737","21.769","5.257","6.87","5.481","4.126","29.038","3.786","7.018","5.757","4.786","6.682","12.468","5.431","7.136","4.904","6.199","4.195","2.894","2.319","5.821","4.253","2.128","4.455","3.954","6.323","9.056","","5.725","11.416","7.166","5.316","7.275","6.866","6.79"
"150127_Blank 3","10.693","9.963","73.279","4.783","26.873","","7.659","","12.272","15.063","10.962","21.673","","","","10.603","24.344","","9.262","","12.121","26.933","25.455","","","","","","17.798","","9.634","10.934","","21.223","73.243","11.342","16.515","","12.996","8.547","","14.679","10.352","","","","12.214","12.225"
"150127_Thal nor_MeOH-DCM Extraction","6.836","4.866","15.582","5.622","12.991","6.314","5.43","5.811","4.743","5.344","6.576","13.733","3.308","3.39","31.686","4.944","6.664","5.384","2.888","","4","17.511","5.504","5.662","6.633","12.111","6.93","5.645","5.734","6.233","3.463","2.802","2.336","5.335","3.644","3.861","4.78","2.665","6.762","10.464","","5.339","20.845","5.047","4.793","7.831","7.567","7.138"
"150127_Thal nor_40-40-20-no acid Extraction","6.809","6.252","11.627","5.651","26.354","6.258","5.213","6.174","3.382","4.351","10.537","8.422","3.962","3.877","26.2","5.638","6.187","5.843","3.265","","4.669","","6.259","5.753","6.239","12.497","10.451","9.104","5.829","6.296","3.901","2.897","3.316","5.358","3.489","4.918","4.875","7.225","7.441","6.837","12.222","5.39","10.127","12.462","4.898","8.048","8.57","8.647"
"150127_NEG Mix #1","4.86","","5.503","4.399","5.795","3.747","5.564","7.488","7.291","4.706","5.475","12.637","5.034","3.12","13.684","4.962","4.507","5.217","4.673","6.674","","8.102","4.499","5.061","5.467","5.905","4.054","","","","4.223","12.529","12.022","14.687","5.368","5.159","4.302","","5.761","7.194","","15.175","","","","12.5","","12.456"
"150127_NEG Mix #2","5.153","10.85","22.104","8.664","45.24","","8.592","","","18.78","18.467","27.052","9.612","","","10.747","17.284","15.706","7.066","7.809","5.398","","13.725","12.069","9.759","20.032","4.293","5.043","4.052","5.937","3.867","4.906","4.379","5.205","4.681","14.834","5.35","5.991","5.096","5.473","3.251","7.916","12.282","5.208","","11.53","12.312",""
"150127_Thal nor_HW Extraction_2","6.856","5.682","6.454","5.295","19.7","5.724","5.317","5.901","5.14","5.146","8.157","10.551","2.861","3.05","26.735","1.495","5.953","5.397","3.538","","4.187","5.79","5.452","6.098","6.483","12.447","5.254","10.327","5.327","8.15","3.177","3.288","2.532","5.816","3.699","4.255","4.741","6.883","4.5","3.186","","5.266","8.748","8.385","5.158","8.569","3.796","6.114"
"150127_Thal nor_MeOH-DCM Extraction_2","6.837","5.045","10.757","5.545","24.97","5.938","5.393","4.704","4.852","3.629","7.533","8.288","3.298","3.23","20.34","3.903","6.633","4.38","2.509","","3.85","21.609","5.203","5.415","6.661","12.461","6.956","5.858","6.166","6.382","2.38","2.627","2.186","5.474","3.729","4.434","3.789","5.081","4.636","3.789","","6.604","13.12","5.805","4.914","8.622","4.604","4.885"
